PUID,SOLUTION
31039,0
53069,0
35011,0
31109,0
31129,0
46099,0
48327,0
6091,1
21053,0
39063,0
48189,0
1027,0
48011,0
39003,0
13189,0
55111,1
5137,1
41063,0
42007,0
28061,1
29083,1
8109,0
37037,1
49033,0
40001,0
39085,0
51775,1
51121,1
47065,0
35035,0
35003,0
1091,1
56023,0
29011,1
48057,0
51735,0
54075,1
48077,0
51095,0
31101,0
31137,0
22019,0
22111,1
40135,0
1049,1
36101,0
42053,1
22105,0
51179,1
26109,1
18073,0
13025,0
13171,0
18151,0
48361,0
39047,0
25015,0
21003,0
37001,1
20073,0
25025,0
16051,0
48177,0
47115,0
26007,1
21231,0
47185,0
48147,0
20043,0
48265,0
12053,1
12129,1
12131,1
28017,1
26035,0
20157,0
12127,1
40017,0
13115,0
32001,1
31181,0
17067,0
46067,0
41013,1
50011,0
26103,1
37057,1
17025,0
29103,0
29117,1
42117,0
31043,0
26089,1
51181,0
48391,0
39017,0
13273,0
13063,0
56013,1
18115,0
13073,0
8115,0
30065,0
42043,0
46101,0
54079,0
34037,1
20039,0
18123,0
28145,0
31015,0
27095,0
38099,0
39115,0
39133,0
56041,0
32013,1
48247,0
8017,0
41005,0
5113,1
13193,0
18007,0
47129,0
46043,0
24047,0
17185,0
18069,0
21209,0
19053,0
18169,0
18003,0
18099,0
31171,0
38085,0
48127,0
27045,1
45023,0
27073,0
49005,0
55093,0
13049,0
13233,0
17113,0
23001,0
16055,0
32003,0
20147,0
31089,0
29101,1
55063,1
22021,1
21061,0
17005,0
17009,0
27085,0
55033,1
8027,0
29123,1
48353,0
42127,1
36091,1
48041,0
40095,0
24001,0
54103,0
55053,1
41007,0
53041,0
36003,0
19031,0
18117,0
13089,0
13227,0
30015,0
31017,0
47013,0
37069,1
24510,0
20111,0
19027,0
22107,1
47123,0
20075,0
19151,0
16045,0
5063,1
5085,1
18111,0
13119,0
12051,0
13265,0
48245,0
30059,0
8067,0
48027,0
28069,1
5019,1
41035,1
36075,1
1019,1
48019,0
30087,0
35059,0
26153,1
36111,1
34007,0
17083,0
51085,1
20199,0
26003,1
5049,1
48215,0
37155,0
26123,0
41049,0
27153,0
5083,1
37109,0
5091,1
12095,0
8111,0
16041,0
13045,0
20161,0
48413,0
51167,1
37027,1
16065,0
18173,0
21001,0
21077,0
21097,0
23023,0
30097,0
48181,0
42059,0
20051,0
1065,1
1105,1
1033,1
20151,0
21017,0
47149,0
13075,0
20101,0
40059,0
17147,0
48107,0
1063,1
16033,0
19109,0
38013,0
37063,1
19085,0
31103,0
19187,0
17151,1
47159,0
51089,1
51510,0
19101,0
30049,0
49013,1
40003,0
48119,0
47169,0
21193,0
46039,0
41029,1
48507,0
31007,0
19121,0
12011,0
13279,0
26151,0
48397,0
26163,0
27105,0
27001,0
38071,0
37145,1
20195,0
28151,1
48133,0
28055,1
48123,0
48005,0
45081,0
29125,1
5001,1
29109,1
51540,1
17011,0
39145,0
37115,1
16053,0
39163,0
48309,0
16037,0
19089,0
12099,0
13181,0
1013,1
47165,0
51097,1
5015,1
51820,1
41051,0
47061,0
27057,0
38081,0
36089,1
29179,1
6067,0
39125,0
18179,0
51063,1
6083,0
54005,1
28009,0
21055,1
19147,0
19159,0
37151,1
24015,0
18171,0
31077,0
31095,0
31151,0
21119,0
19045,0
27063,0
27039,0
27047,0
6009,0
25001,0
51119,0
42065,0
18089,0
47003,0
47027,0
17029,0
47097,1
41001,1
36097,0
26159,0
17131,0
21127,0
21175,0
21177,0
17049,0
47105,0
46025,0
12041,1
18157,0
42109,0
48277,0
12086,0
31057,0
48289,0
8097,1
38035,0
18091,0
18057,0
51595,0
40081,0
20071,0
13145,0
13251,0
48433,0
39069,0
33009,0
29145,1
18129,1
48311,0
17035,0
13297,0
27121,0
51157,1
51009,1
6111,0
17033,0
8093,1
6037,0
4027,0
13129,0
19025,0
12055,0
51580,0
50017,0
20113,0
4021,0
39051,0
8003,0
12017,1
47041,0
42031,0
46097,0
46073,0
18031,0
18037,0
51057,1
45089,0
36031,1
19195,0
40063,0
51027,1
51005,1
28087,1
18143,0
8099,0
48435,0
40101,0
29043,1
28073,0
18137,0
38057,0
13147,0
22049,1
51133,0
48157,0
55047,1
30073,0
55127,0
32021,1
17057,0
36103,0
18161,0
29119,1
31157,0
35047,0
1081,0
48367,0
38021,0
38003,0
27143,0
13293,0
6097,0
26033,1
16019,0
13013,0
13183,0
48271,0
40115,1
42033,0
26037,0
17135,0
28003,0
28071,1
22043,1
29005,0
17115,0
26149,0
17055,1
30033,0
31001,0
27109,0
34039,0
1097,1
46087,0
1057,1
1017,0
37131,0
8081,1
21087,0
18047,0
37013,1
38015,0
37159,1
26071,1
27067,0
21237,0
48149,0
46081,0
23029,1
48045,0
26131,1
28015,1
41003,1
27133,0
42063,0
22061,1
42099,0
46137,0
48203,0
26013,1
40131,0
29019,1
40015,0
8059,0
54011,0
48383,0
5141,1
8117,1
20035,0
5071,1
36041,1
51045,1
48083,0
4017,0
28085,1
48357,0
48103,0
56003,1
47081,0
28143,1
29081,0
18005,0
13223,0
39015,0
47141,0
38101,0
25027,0
39091,0
6031,0
6073,0
13079,0
29037,1
36027,0
48477,0
8101,0
29067,1
38009,0
37051,1
56017,1
26001,1
6061,1
5129,1
48305,0
36077,1
37153,1
37093,0
31131,0
42023,1
45035,0
27161,0
46015,0
47177,0
17023,0
21201,0
47095,1
45015,0
5051,1
20139,0
39155,0
48333,0
48359,0
42019,0
16049,0
20115,0
51029,1
37025,0
29225,1
49011,0
27033,0
12093,0
13291,1
19013,0
48403,0
39131,0
1125,1
1131,1
28097,1
31099,0
31087,0
10003,0
16081,0
17161,0
51073,0
5133,0
18017,0
16077,0
18015,0
42101,0
56043,1
37029,0
36109,1
5069,1
5079,1
55123,1
29093,1
48223,0
36001,1
48225,0
39111,0
20165,0
18107,0
20187,0
21129,0
27071,0
48029,0
8013,0
47089,0
40097,0
27165,0
16013,0
22053,0
46119,0
8031,0
40029,0
30011,0
48461,0
18051,0
31105,0
17093,0
11001,0
8085,1
27171,0
55059,0
8037,1
6075,0
8113,0
12109,1
28019,1
29079,0
26085,0
26139,0
17031,0
17059,1
45047,0
20059,0
27027,0
47075,1
49003,0
28139,0
54051,0
54035,0
16039,0
24005,0
38005,0
29163,0
39087,0
29201,1
39001,0
48143,0
13137,1
13319,0
54061,0
39033,0
12027,0
39059,0
26015,0
29209,1
51760,0
37169,1
19039,0
19065,1
6041,0
48381,0
48401,0
19181,0
39161,0
12043,0
13199,0
8023,0
48099,0
19001,0
13053,0
6043,0
29089,1
41047,0
55079,0
27139,0
39129,0
51145,0
8014,0
47099,1
26009,1
45069,0
16009,0
17103,0
31127,0
37031,1
20149,0
26075,0
48091,0
25019,0
45009,0
48007,0
13019,0
18165,0
26143,1
37005,1
6035,1
51610,0
12081,0
39119,0
8015,1
8025,0
8043,0
28109,0
28111,1
31041,0
12013,1
21117,0
19037,0
17037,0
19081,0
38089,0
26095,1
40019,0
37139,0
35055,0
28011,1
32023,1
47073,0
38011,0
42057,0
22055,0
48237,0
17175,0
40055,0
48211,0
16069,0
46129,0
6055,0
40033,0
29221,1
36011,1
48417,0
48407,0
19061,0
51075,0
20181,0
39139,0
17001,0
39021,0
33019,0
17075,0
19157,0
39169,0
13113,0
13141,0
48259,0
36039,1
51137,1
40089,0
13277,0
31025,0
46077,0
56009,1
36043,1
38047,0
26053,1
27005,0
1095,1
47173,0
54057,0
55003,1
17053,0
38029,0
6089,1
22113,0
5121,1
55085,1
22035,1
22037,0
22087,0
48481,0
48153,0
21151,0
47009,0
30031,0
45031,0
1053,1
13143,0
20001,0
17041,0
51079,1
55137,1
5065,1
6053,0
35017,0
29131,1
37193,1
29165,0
29021,0
1083,1
18065,0
31143,0
39123,0
27107,0
19165,0
24013,0
19011,0
21159,0
27025,0
21189,0
42015,0
54029,0
29051,1
26021,0
42061,0
31045,0
51141,1
26119,1
26135,1
35007,0
17163,1
17189,1
42009,0
5127,1
20099,0
42073,0
39067,0
37003,1
34009,0
33005,0
27089,0
51101,1
8055,0
48255,0
47023,1
17171,0
49027,1
49029,0
48257,0
4011,0
4013,0
26129,1
47087,0
17159,0
1009,1
30051,0
48131,0
29173,0
48251,0
13061,0
41023,1
41011,1
48159,0
36113,1
51113,1
40005,0
17129,0
13015,0
12069,1
40111,0
38083,0
18049,0
20091,0
24009,0
55129,1
53031,1
27169,1
28149,1
29003,0
29139,0
20021,1
37083,1
35043,0
21051,0
42035,0
41043,0
55065,1
40147,0
54077,0
55135,1
48137,0
41037,1
29153,1
48473,0
1099,1
50009,0
51111,1
38097,0
13139,0
13283,0
13037,0
55125,1
27007,0
24019,0
42037,0
39023,0
48323,0
4019,0
35006,0
34005,0
50021,0
13099,0
25007,0
38049,0
31179,0
38045,0
16023,0
33007,0
38043,0
48273,0
18127,0
28101,1
37163,1
47127,0
12103,0
17065,1
5105,1
20023,0
8029,1
19185,0
48165,0
1093,1
37189,1
51770,1
48317,0
48037,0
49057,0
29127,0
36045,1
19097,0
38063,0
36019,1
8045,1
29177,1
39073,0
1085,1
13043,0
19113,0
6105,1
13215,0
28135,1
20005,0
48003,0
39109,0
48375,0
40133,0
45003,0
6045,1
51550,0
56037,1
48169,0
54031,1
55089,0
47163,1
45059,0
56011,0
55117,1
25013,0
48055,0
20029,0
6027,1
1037,0
19059,0
21095,0
20061,0
42011,0
47019,1
27083,0
51037,1
47179,1
45071,0
51093,0
41069,0
29023,1
22047,1
28125,1
51061,1
51750,1
32005,1
12037,1
18055,0
18139,0
55131,0
29105,1
42085,0
5031,1
29195,1
17193,1
17039,0
32033,1
27049,0
37173,1
12101,0
12119,1
36059,0
38091,0
18163,0
29071,1
37011,1
54107,0
55007,1
47161,1
55097,1
45063,0
24003,0
55039,1
54101,1
55061,1
48369,0
40151,0
21063,0
25003,0
29041,1
8103,1
8087,0
41045,1
34023,0
20167,0
17155,0
46055,0
47111,0
5023,1
1109,1
16003,0
25005,0
42107,0
38103,0
37045,1
5059,1
24021,0
17169,0
6051,1
6109,0
35013,0
13081,0
5027,0
38039,0
6095,0
19043,1
48449,0
54027,1
37125,1
20009,0
38087,0
22083,1
31071,0
22099,1
1119,1
1133,1
12117,1
28035,1
26065,0
20177,0
46061,0
27061,0
8073,0
36053,1
36115,1
18081,0
48445,0
35021,0
1121,1
55067,1
48155,0
19021,0
19129,0
48385,0
39041,0
37067,1
32510,1
19049,0
48065,0
13261,0
29223,1
45007,0
56007,1
30093,0
17177,0
26087,0
22027,1
28161,1
26079,1
22039,1
47069,1
4003,0
35023,0
38023,0
6071,0
8083,0
28023,1
19125,0
31055,0
51600,0
40057,0
29039,0
13059,0
16085,0
48275,0
5103,0
39037,0
40071,0
46041,0
41057,0
13077,0
28127,1
28131,0
6013,0
47017,1
51087,0
18119,0
36119,0
29017,1
54047,1
54033,1
37077,1
31139,0
13023,0
13033,0
17181,1
17091,0
38051,0
31141,0
37185,1
13197,0
46027,0
10005,0
13159,0
29175,1
20015,0
48209,0
48325,0
26105,0
45013,0
46135,0
55105,0
45077,1
53013,0
18023,0
17027,1
16067,0
42113,0
28121,1
48345,0
41039,1
48485,0
26155,0
20089,0
20123,0
12007,1
28091,0
28039,1
17085,1
18059,0
51620,0
48329,0
20171,0
30013,0
51660,1
17199,1
30029,1
20189,0
21067,0
21091,0
46013,0
54001,1
47181,1
31013,0
42097,0
48469,0
51530,0
26147,0
31173,0
50015,0
51067,1
40011,0
53037,0
18135,0
49025,1
54093,1
55023,1
1071,1
19123,0
20045,0
21059,0
21197,0
29097,1
41061,0
13151,0
38001,0
37137,1
21083,1
42021,0
47107,0
26093,0
8001,0
42069,0
40123,0
40037,0
48457,0
47175,0
40125,0
35053,0
13003,0
12031,0
48145,0
5149,1
20033,0
21113,0
21171,0
40075,0
46079,0
37033,1
48377,0
39057,0
48489,0
35028,0
1003,1
19007,0
51127,0
13263,0
36049,1
54015,1
18077,0
51019,1
35033,0
31011,0
29149,1
47083,1
42131,0
37107,1
18167,0
18039,0
51077,1
48303,0
27093,0
39005,0
31119,0
12085,0
8079,0
13085,0
13167,0
5095,1
29059,1
51143,1
20145,0
20209,0
12029,1
26157,0
20065,0
22097,1
47055,1
39095,0
5093,1
18043,0
20129,0
21081,0
21217,0
37075,1
54045,0
54073,0
51071,1
54019,1
53061,1
35015,0
31117,0
31145,0
31149,0
47085,1
17125,0
51197,1
13303,0
53077,0
5143,1
48213,0
55035,1
47153,0
48471,0
4005,0
20191,0
26127,0
27065,0
39007,0
6003,1
48167,0
1011,1
17105,0
39135,0
39079,0
48201,0
25017,0
48115,0
36069,0
1001,1
20121,0
13091,0
36023,1
13039,0
26161,0
18087,0
48371,0
13225,0
13311,1
13163,0
55083,1
48347,0
44009,0
53047,1
53063,0
55041,1
55113,1
34017,0
39151,0
48187,0
53029,1
54037,0
51153,1
42029,0
54055,1
47145,0
53009,1
53065,0
19177,0
31073,0
28095,1
12033,1
48439,0
24033,0
51169,0
48239,0
40085,0
13289,0
39099,0
1087,0
17191,1
48437,0
29151,1
17089,0
6017,1
45055,0
37073,0
8089,0
41019,1
42089,0
5101,1
38019,0
40103,0
20063,0
22077,1
31067,0
1115,1
28123,1
13095,0
18061,0
16017,0
13047,0
22059,1
23027,0
24027,0
49035,0
12087,0
39157,0
9110,0
9120,0
9130,0
9140,0
9150,0
9160,0
9170,0
9180,0
9190,0
36085,0
39071,0
27077,0
16011,0
45045,0
46085,0
55121,1
6113,0
48431,0
48495,0
46071,0
49041,1
51036,0
1023,1
18083,0
31047,0
20057,0
38105,0
38017,0
17069,1
31005,0
48163,0
19103,0
20133,0
21089,0
20107,1
49017,1
32011,1
31085,0
8095,0
5013,0
21101,0
28051,1
28105,1
30027,0
24023,0
22119,1
26059,0
21141,0
46033,0
33013,0
42133,0
37161,1
46005,0
1043,1
13097,0
31097,0
37187,1
46075,0
37007,1
38007,0
31003,0
29073,1
21031,0
56005,1
13211,0
5037,1
5107,1
22093,0
6115,1
1117,1
8091,0
35009,0
40149,0
37135,1
18131,0
26019,1
36029,0
24031,0
51685,0
51013,0
51035,1
29183,0
6069,0
24035,0
20013,0
13031,0
21071,0
30007,0
13309,0
37049,1
29087,0
48295,0
41009,0
45041,0
38061,0
49053,1
30003,0
42047,1
31165,0
28031,0
18013,0
18019,0
21021,0
21065,0
48087,0
48089,0
17063,0
27081,0
13109,0
48497,0
13307,0
13169,0
13135,0
55095,0
55045,0
36079,0
51700,0
8011,0
40065,0
30089,1
48173,0
5047,1
40093,0
47125,0
53051,0
38055,0
41027,0
19197,0
48419,0
29055,1
51017,1
27111,0
22075,0
28115,0
22067,1
21029,0
1047,1
48093,0
30053,1
27021,0
8007,0
28163,1
55087,1
29107,1
37195,1
39117,0
30039,0
38031,0
5033,1
48053,0
29186,1
48179,0
17109,0
19137,0
5067,1
48229,0
22079,1
31111,0
48067,0
47079,1
51840,1
37061,1
37087,1
27037,0
41025,1
55001,1
29045,0
21015,0
21229,0
22009,1
28137,1
29227,0
31163,0
46021,0
46063,0
26057,0
19175,0
17127,1
31113,0
31121,0
31161,0
21039,1
56025,1
13321,0
18109,0
48139,0
13229,0
18053,0
12035,1
28077,0
22127,1
17073,0
41041,1
23031,0
46029,0
13231,0
13259,0
34025,0
5021,1
5045,1
40041,0
19107,0
17061,0
27075,1
13285,0
6023,1
47043,0
27003,0
46009,0
47059,1
51183,0
18141,0
38067,0
46007,0
22115,0
