"planning_unit","number"
54099,135
48227,0
28089,241
27135,57
13123,43
26091,0
53059,39
40047,0
21233,175
51117,229
29029,114
5057,180
29143,139
30001,123
31031,0
25011,13
28155,229
22041,250
20085,0
50019,116
50025,100
44003,0
21115,97
39107,0
19029,0
12015,70
42129,47
31023,1
34021,0
12057,0
48453,0
20173,0
19093,0
53021,25
51159,15
33001,149
29013,215
51103,10
30057,129
51810,0
41067,0
47101,17
45025,54
31037,1
27019,0
21019,103
13177,1
48505,0
39175,0
1067,44
6079,0
19189,0
48249,0
8049,112
48205,16
31135,0
39031,63
51570,59
48441,2
39053,160
37047,160
55029,85
55071,84
34001,0
42005,47
39103,0
37055,147
36005,0
25023,0
21181,0
27055,153
20197,0
54059,220
36093,129
36071,40
37043,207
48319,42
48299,40
8071,19
48339,2
48061,0
19005,146
30079,32
35061,110
31107,0
53067,124
46091,0
46051,0
13111,178
29510,0
6021,148
19167,0
51033,112
48001,21
21011,17
48365,27
55078,175
31125,1
29155,136
21187,15
21179,0
21163,44
40025,8
23025,142
22011,44
21207,0
21169,0
21045,0
20069,0
18093,57
1039,173
40119,14
12073,237
30019,31
16027,69
39149,0
1031,99
37171,236
37175,234
13009,12
48219,0
48351,40
1021,202
47063,67
12045,154
5111,140
22089,11
47047,117
27127,0
27119,3
54041,239
51069,205
55011,228
51650,0
49045,122
49019,200
38041,0
45043,34
17077,240
18063,6
25021,0
21079,0
55133,0
55107,236
56015,0
47119,12
20155,0
16025,79
1055,58
18009,0
47039,118
45011,13
21033,179
37181,237
46053,1
46031,0
47151,61
55057,216
42071,0
16063,62
53053,65
38027,0
5075,137
51149,75
47053,101
47045,132
51025,173
48031,29
18175,56
28065,128
23003,115
37123,187
48479,18
13127,2
39153,0
42121,60
55109,37
54039,224
40051,0
46111,0
19183,72
19077,0
46123,1
42039,7
22001,45
51041,59
42119,48
22005,40
18001,0
45091,63
55019,222
21069,17
56035,191
45017,32
48341,0
26073,0
29137,65
28147,61
48409,0
13117,1
48483,0
29069,134
13207,3
13191,0
6087,0
5131,171
26041,139
13153,1
33017,177
51177,186
51091,249
27013,0
27011,0
28075,207
1007,202
31063,0
30091,31
31115,0
31081,8
31079,8
18041,0
20163,0
51131,7
27029,55
37019,166
55021,184
28067,193
53057,188
21155,0
8005,0
1101,168
17071,37
5139,152
51683,22
39089,50
8033,177
37009,241
1111,52
47113,88
17047,156
51187,191
28033,162
13083,14
12039,227
29063,0
1127,81
1073,57
22071,11
46037,0
6093,249
18183,0
51165,226
54065,45
54069,2
40061,211
51047,177
48459,21
20019,6
30063,196
29159,185
51199,7
37127,240
53045,178
29129,38
30071,34
36025,53
29185,156
51107,0
48281,23
28049,239
26121,3
20103,0
50001,142
42125,0
48343,76
42115,34
42103,38
51185,241
29065,168
8077,211
5109,214
29015,185
31123,0
5043,168
35051,109
51105,76
20067,0
48379,21
48059,23
19141,0
36051,29
31049,0
48393,0
12061,19
37089,233
48175,0
19017,4
39083,0
13187,160
1051,164
46127,0
47021,8
41031,164
27125,3
17015,21
38069,1
39045,50
44005,0
48035,2
44001,0
8039,18
13035,0
19069,2
18121,3
29217,232
34019,0
13255,1
39165,0
19079,0
47033,88
31169,14
27147,0
53075,24
29033,195
30069,35
17111,0
53035,147
31027,0
46023,1
20203,2
13313,14
30105,35
22065,250
20117,4
46102,0
41059,47
13125,7
40105,26
48285,0
39035,0
39159,0
16007,75
16021,75
8009,8
39171,0
6081,0
53043,57
13317,14
30081,119
37117,205
48429,24
13267,0
39147,0
27151,1
26029,68
8051,98
46089,0
21165,11
23007,145
47015,0
30107,50
17095,1
20003,3
13157,0
39173,0
10001,0
13005,0
39077,0
47001,49
30023,124
51059,0
30043,128
27041,1
24011,1
48193,2
5011,153
5117,212
37157,199
16029,75
49051,106
29049,0
8119,83
41015,244
48487,0
8061,2
48475,4
29187,167
8041,18
51800,37
5089,165
36087,0
48183,20
51175,151
5115,194
13021,1
5017,249
18097,0
46093,18
50023,107
51730,50
6063,216
37021,233
37041,127
38059,0
55043,141
56039,181
29171,42
22121,250
47167,139
16047,62
18133,6
49037,177
8021,69
13131,6
6033,150
54043,218
30111,42
51021,237
54013,219
54009,0
40099,0
18095,0
45079,44
8035,8
46019,19
25009,0
22063,40
22029,250
47051,0
30061,201
26061,129
46049,0
13217,0
23013,116
23009,119
21073,0
28057,100
28001,250
21149,136
20119,0
20083,0
12077,192
22123,235
20053,0
18103,0
55099,218
53011,31
55075,140
27103,0
45087,67
45065,38
48043,23
45053,12
21239,0
19117,7
18105,56
12009,20
20093,0
49039,178
26083,130
32009,112
49021,107
39049,0
18145,0
51109,202
47137,10
27015,0
47005,115
26005,3
21049,0
30103,42
38079,1
28063,250
54021,246
54053,167
5125,215
51680,232
34033,0
21133,105
24043,6
48069,0
31175,0
30041,41
21215,0
21191,12
21147,16
13205,1
35001,110
48455,20
50027,129
46115,2
40053,0
54067,249
39105,168
51031,232
26023,69
20031,0
47049,21
6005,66
38025,0
31093,0
21009,0
18177,0
13087,6
31065,6
20137,0
20131,1
29199,48
37103,192
45033,91
13055,7
21223,9
21203,8
18101,61
12113,165
19139,11
22057,16
50007,137
22101,250
29057,25
53001,27
47109,115
26133,34
38065,0
13057,16
21185,9
21005,0
13275,9
13007,1
12133,112
12089,13
17021,6
31147,1
19135,7
20175,3
19171,9
47077,120
48025,0
42027,206
27053,0
28133,235
36035,131
48051,1
40073,0
48411,23
29157,184
48033,0
48261,0
30047,222
34031,0
27087,3
32027,111
30035,122
42075,0
48425,2
39137,0
39121,61
20049,6
19115,77
41071,0
48501,4
39025,1
12049,16
48451,2
5073,161
48269,0
35037,16
51640,0
13237,2
16057,30
42081,158
46059,2
42017,0
49007,193
51147,230
31091,0
12001,227
27129,1
53025,57
51099,86
27117,0
56027,13
38033,1
26125,0
48171,42
48395,25
40091,209
40143,15
48423,19
29203,172
38093,0
26113,42
39065,0
8121,0
17045,23
16087,81
17019,0
20201,6
39097,0
29205,65
42003,0
27097,117
55049,68
31177,0
19091,0
17143,1
36017,60
40137,0
49023,130
19133,0
20077,0
48465,22
42105,177
6101,139
19003,0
40153,0
40139,3
48233,0
19119,0
26101,76
13253,5
29061,127
48015,0
20097,0
48279,0
29121,85
4001,161
55091,220
30075,35
31083,33
19087,72
36067,46
48283,14
38075,1
51115,7
48125,0
12063,112
5035,142
22125,250
28081,100
18071,58
18029,2
1035,202
46045,0
28099,217
28037,243
28025,206
28079,232
20179,1
28157,250
26027,86
6025,0
19179,54
26045,0
21047,169
18125,108
18067,0
17101,159
37053,32
4023,3
6059,0
35049,120
35005,59
54081,243
51630,98
36033,239
55069,214
46057,37
17081,215
21093,0
28119,248
26111,1
54091,224
30021,31
20079,0
21075,139
55139,28
17107,3
21111,0
20047,0
29091,147
39167,84
40077,215
48301,4
48141,23
17195,3
39141,59
17117,15
31069,0
30099,92
48263,0
47139,178
47155,167
27091,0
31033,0
45039,54
20125,7
20055,0
8075,0
48217,2
48105,22
28141,113
48307,23
26097,146
48267,42
8019,112
21041,9
1059,115
29197,42
22091,64
22095,30
22073,235
18033,0
48113,0
5025,227
29133,135
53071,40
29031,154
49055,158
21205,21
19073,0
19033,0
24017,14
31035,14
40013,87
29035,170
51195,129
39013,40
47091,237
13067,0
36013,110
55141,225
16073,120
8063,2
8057,112
5039,226
13195,7
17097,0
51065,206
39019,2
1113,9
26039,62
42079,6
42055,5
42041,0
56033,50
5087,164
51011,234
47117,5
1075,156
35025,6
55103,185
40129,0
13103,5
48427,0
20041,0
40023,206
51690,231
36021,29
34041,1
51135,113
12083,230
5007,80
36061,0
13175,1
5053,227
12097,45
51125,244
39029,0
50013,209
21213,15
28043,236
21027,89
1103,62
42095,1
6099,0
36121,10
36015,24
31159,1
42077,0
29077,25
47183,196
21219,156
47007,2
30095,84
45027,34
46069,0
46065,0
22003,63
26055,59
18027,101
56019,123
45061,44
26077,70
17165,221
16083,79
18079,34
19143,0
39075,0
29141,114
36047,0
18021,35
49049,96
49047,204
47037,0
45005,11
42001,0
31185,6
21211,0
47103,0
13201,1
21139,197
18113,0
18181,0
26115,0
13271,0
20185,0
13027,2
4012,1
18153,51
12079,216
31059,14
48493,0
13219,1
27069,1
46047,13
17043,0
19019,9
30055,32
32017,115
34003,0
39061,0
37183,209
12019,222
50003,96
36063,0
42045,0
38095,0
51163,249
36117,46
6107,37
39055,0
16005,75
19047,0
5119,200
29215,172
54097,247
13241,217
20095,0
48013,0
23005,160
48109,23
46107,0
30025,11
19041,0
36037,9
12125,180
13051,0
29113,36
29099,163
17003,137
12123,221
19193,0
21123,0
45057,59
21173,0
26051,13
26031,89
12121,212
36081,0
42093,19
56029,169
56001,131
29027,97
48017,0
21153,43
20169,0
19063,0
22015,118
39011,0
48463,32
48421,0
8125,0
5099,184
37111,241
37059,170
5061,189
42123,81
37191,212
37023,247
40043,0
6047,0
37197,236
51193,15
29135,110
48297,0
53015,69
30085,31
19023,2
40007,3
31019,0
19095,15
13295,14
22013,182
20081,0
20025,0
28093,201
1079,80
13149,17
48363,23
21085,74
13165,8
17133,209
48197,0
13301,7
27149,1
48321,0
48387,207
37199,233
45021,71
48121,0
30067,100
54003,6
53027,184
48293,8
48135,0
46095,1
46017,1
13133,2
41055,26
13209,0
29115,174
34013,0
37119,0
54089,244
40079,216
51139,217
54071,249
40087,0
8047,20
48415,0
51830,0
13269,3
29213,126
47121,7
21125,14
36099,31
23015,123
19071,0
26047,89
20141,0
19111,72
26011,12
13155,0
22109,16
22069,204
20205,6
55009,83
53055,188
53039,45
48021,0
27115,208
6007,207
47157,98
26017,2
38073,0
29147,0
5029,202
13221,7
48447,0
39113,0
31029,0
51790,245
48039,0
20135,1
29211,44
34027,0
51720,129
16061,33
42091,0
45051,32
4025,23
4015,28
55077,198
12115,75
31053,0
45001,55
48085,0
17119,15
51023,249
50005,115
35039,158
26145,2
40107,44
17153,137
23021,140
39143,14
48199,26
13239,1
48071,0
48195,0
28107,236
21057,0
21037,2
28059,151
1015,59
20159,0
13173,1
12003,177
5077,247
13017,0
35031,159
12021,0
36083,43
26117,0
18075,0
13213,14
49001,131
48241,34
37065,244
21199,12
55031,250
6057,167
34011,0
54049,223
54083,248
39081,2
39009,76
48291,111
36007,48
40117,14
36095,54
48315,40
27017,226
47011,20
28047,114
12059,92
12023,177
20143,0
19163,10
19057,83
18011,0
28027,248
29047,0
46011,0
48117,7
17197,0
26043,128
29053,195
28083,235
5145,207
19035,0
13161,0
20193,1
20153,1
48443,23
48399,2
51520,192
1041,173
42087,61
48161,15
47057,66
27043,0
37133,185
22045,250
20087,0
19145,0
54085,148
40067,0
48063,21
47189,0
1089,60
17187,37
56045,29
48355,0
35029,127
13243,1
51007,113
51051,194
17121,155
54025,250
39039,0
1129,202
19173,0
46105,0
41065,26
41053,15
30077,163
37121,233
30045,38
33011,123
34015,0
5147,207
28103,208
18085,0
17013,23
6001,0
12091,146
38053,1
37179,58
51155,233
48389,23
51710,0
30005,35
21137,0
21099,44
18147,97
48331,2
17079,0
13287,0
26099,0
13185,2
13065,3
21157,222
20207,3
55017,237
46083,0
36055,1
12111,21
51053,121
13029,0
16043,101
45049,11
46103,19
27023,1
20037,172
24029,0
31061,21
46003,0
1069,45
21221,179
20017,0
1025,211
28053,236
27051,1
21135,54
31183,0
21167,0
21103,15
28159,219
6077,0
48313,8
13249,3
32029,111
48405,27
48023,0
48009,0
21007,157
32031,111
46117,0
48221,2
37141,178
53049,76
35057,110
55013,232
48191,0
5055,132
55055,2
45029,19
29007,65
48073,22
13121,0
48287,0
36107,43
30101,101
29229,92
19155,0
41017,165
53033,1
36123,28
19149,0
8105,69
33015,135
1123,105
48503,0
12105,37
51081,148
48101,0
28153,197
19099,7
13001,0
31167,17
30009,81
37147,192
26081,0
24037,14
28021,250
22033,40
45073,168
27031,223
21109,9
53023,35
51043,79
47147,6
51003,242
21035,149
47131,218
37129,163
26067,0
21121,45
55015,33
51001,9
45037,38
24025,0
31051,0
48373,23
19015,5
39093,0
27137,227
39027,0
22023,44
19083,2
22103,40
22051,11
38037,0
13299,5
13069,0
26069,89
26063,12
47133,3
48081,0
48095,2
21143,184
17123,1
24039,9
21131,56
37079,199
47143,7
37167,138
37015,202
13235,0
17137,11
22085,51
48151,0
55025,0
6103,245
17007,0
29189,0
17183,0
39043,14
29001,51
53005,25
45019,15
6085,0
37101,222
30037,41
35019,65
37071,46
56031,129
49009,201
31009,0
29075,0
6039,52
20109,1
1045,46
29169,136
20007,0
19105,9
55027,2
36009,171
53017,142
27079,0
54095,145
33003,177
54105,170
54017,236
40121,214
8065,91
36065,169
40083,0
48207,0
19009,0
55115,206
55101,0
48049,13
48337,0
47025,55
46035,0
27141,2
31155,0
27145,2
13093,1
29207,143
22117,48
45067,33
47071,118
47067,82
47029,188
46125,0
21225,159
21145,221
19067,0
37095,150
16079,199
16075,69
28129,221
13281,204
29095,0
23017,170
47093,49
22081,182
13315,0
28045,42
12075,233
18035,0
12047,184
37143,41
55081,215
16015,85
19051,52
20127,0
19055,8
17099,1
1061,86
21105,145
18155,8
54063,248
37113,229
40141,0
19127,7
46121,1
22017,118
21227,15
29219,48
27131,0
37177,147
8069,64
5135,140
51678,0
48243,4
17179,1
29181,136
48075,0
21025,48
37035,224
12067,214
21195,198
26107,0
37039,196
40113,15
48499,21
48335,0
48231,48
27173,1
40021,193
35027,59
30109,10
53019,94
49015,195
19161,0
26137,59
47035,26
40035,26
17167,6
48111,16
37017,163
1005,48
13105,11
6019,48
22031,131
36073,9
35045,158
31021,0
40049,0
42083,142
42067,4
13247,0
17017,9
27155,0
53003,38
56021,0
47187,3
48047,0
48349,8
13179,0
19153,5
6049,249
40009,0
8123,0
1029,38
26025,66
5097,205
28005,243
12065,221
20183,33
20105,0
13101,4
5123,247
4009,113
27035,177
21013,52
16035,31
21107,182
17139,0
16071,79
31075,0
29111,49
18025,50
12107,236
29025,127
48235,2
51171,219
54023,218
42051,56
51740,0
27163,32
47135,114
5041,248
5003,155
30083,31
40145,174
20027,23
18159,0
37105,224
37085,228
37165,120
37149,230
36105,46
40027,0
26141,90
53007,142
40127,207
6015,249
27157,113
55051,215
55005,232
38077,0
17141,3
46109,0
30017,33
28041,194
28013,234
22007,62
26049,2
48185,0
48253,0
40031,0
5009,164
34029,0
41021,26
53073,191
27113,3
36057,131
37091,183
51083,229
37097,215
21043,59
24045,9
4007,16
17201,0
51670,0
27159,48
54087,215
55037,135
21023,14
19191,94
32015,116
29167,25
49043,138
37099,238
40069,0
40109,0
13305,0
13011,18
51590,232
39127,59
17051,88
17173,0
18045,0
1077,111
12005,139
48129,0
27009,117
21161,40
49031,172
51015,245
51161,232
48467,19
28029,240
42049,0
27059,201
16031,79
8053,98
17087,187
6011,148
34035,0
8107,178
19075,3
17145,222
40045,0
1107,163
13245,12
17203,1
17149,18
39101,0
40039,0
16001,69
37081,134
51191,192
42111,106
35041,10
51173,234
23011,127
17157,211
27167,0
13071,0
31153,0
21183,123
16059,118
47031,0
28113,238
41033,248
12071,0
32019,110
5081,176
27123,0
29009,80
29085,156
42013,108
48079,0
26165,50
54007,247
32007,117
55073,213
45083,68
47171,233
31133,1
42025,6
22025,250
13107,1
19131,0
48491,0
18149,0
21235,42
28117,101
29161,154
44007,0
27101,0
27099,0
55119,218
45075,24
48097,1
6029,0
54109,242
45085,45
51049,125
20011,146
19169,5
28007,232
